Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,Applicants,Inventors,Priority Data,Publication Language,Title,Designated States,Abstract,Related Patent Documents,Grant Number,Grant Date,CPC,Agents,,,,
CN436041086,202410509876,China,26.04.2024,118291493,05.07.2024,A,"C12N 15/53
					






C12N 9/08
					






C12N 15/82
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					








C12N 15/53
					






C12N 9/08
					






C12N 15/82
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					






View less classifications",HUBEI ACADEMY OF AGRICULTURAL SCIENCES INSTITUTE OF FOOD CROPS湖北省农业科学院粮食作物研究所HUAZHONG AGRICULTURAL UNIVERSITY华中农业大学,HU LIANG胡亮YANG DABING杨大兵WANG HONGBO王红波DU XUESHU杜雪树LI JINBO李进波WAN BINGLIANG万丙良XIA MINGYUAN夏明元QI HUAXIONG戚华雄MOU TONGMIN牟同敏WU YAN吴艳,,,(EN) OsPOX8.1 gene and application thereof in regulation and control of brown planthopper resistance of rice(ZH) 一种OsPOX8.1基因及其在调控水稻抗褐飞虱中的应用,,"(EN) The invention relates to the technical field of biological genetic engineering, in particular to an OsPOX8.1 gene and application thereof in regulation and control of brown planthopper resistance of rice. In the embodiment of the invention, the gene OsPOX8.1 in the receptor rice is edited by virtue of a CRISPR/Cas9 gene editing technology, so that a transgenic plant OsPOX8.1-Cas edited by the gene OsPOX8.1 is obtained. And carrying out brown planthopper resistance identification on T2-generation homozygous transgenic plants by adopting a seedling stage group method. Compared with a transgenic receptor parent B1415 (a control group, a Bph14/Bph15 polymeric line taking Wushan Miao as a recurrent parent, recorded as B1415, similarly hereinafter), the OsPOX8.1-Cas is more susceptible to insects, and it is proved that OsPOX8.1 is related to the resistance of rice to brown planthoppers and can be used for creating new rice brown planthopper resistant germplasm.(ZH) 本发明涉及生物基因工程技术领域，特别是涉及一种OsPOX8.1基因及其在调控水稻抗褐飞虱中的应用。本发明实施例中通过CRISPR/Cas9基因编辑技术，对受体水稻中的OsPOX8.1基因进行编辑，获得OsPOX8.1基因编辑的转基因植株OsPOX8.1‑Cas。采用苗期集团法，对T<subgt;2</subgt;代纯合转基因植株进行了褐飞虱抗性鉴定。与转基因受体亲本B1415(对照组，以五山丝苗为轮回亲本的Bph14/Bph15聚合系，记作B1415，下同)相比，OsPOX8.1‑Cas更加感虫，证实OsPOX8.1与水稻对褐飞虱的抗性相关，可用于创制水稻褐飞虱抗性新种质。","C12N 9/0065
					






C12Y 111/01
					






C12N 15/8286
					






C12N 15/8205
					






C12N 15/8218
					








C12N 9/0065
					






C12Y 111/01
					






C12N 15/8286
					






C12N 15/8205
					






C12N 15/8218
					






View less classifications",,,,北京维创华成知识产权代理事务所(普通合伙) 16094,,,,
CA279053031,3062976,Canada,,3062976,15.11.2018,A1,"A01H 5/00
					






C12N 9/22
					






C12N 15/52
					






C12N 15/82
					








A01H 5/00
					






C12N 9/22
					






C12N 15/52
					






C12N 15/82
					






View less classifications","CHINA AGRICULTURAL UNIVERSITYINSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY, CHINESE ACADEMY OF SCIENCES","GAO, CAIXIAJIANG, LINJIAN",201710329242.9 11.05.2017 CN,,(EN) CREATION OF HERBICIDE RESISTANT GENE AND USE THEREOF(FR) CREATION D'UN GENE RESISTANT AUX HERBICIDES ET UTILISATION DE CELUI-CI,,"(EN) Provided is a method for creating herbicide resistant plant by CRISPR/Cas9 system. A method for screening endogenous gene mutation sites capable of conferring herbicide resistance in plants and the use of the identified endogenous gene mutation sites in crop breeding are provided too.(FR) L'invention concerne un procédé de création d'une plante résistante aux herbicides par un système CRISPR/Cas9. L'invention concerne également un procédé de criblage de sites de mutation de gène endogène capables de conférer une résistance aux herbicides à des plantes, et l'utilisation des sites de mutation de gène endogène identifiés dans l'amélioration génétique des cultures.","C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






View more classifications
							






C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






C12N 15/8201
					






C12N 15/8274
					






C12Q 1/25
					






C12Q 1/26
					






C12Q 1/48
					






C12Q 1/6895
					






C12Y 113/11027
					






C12Y 202/01006
					






C12Y 205/01019
					






C12Y 604/01002
					






C12Q 2600/13
					






C12Q 2600/156
					






C12N 2810/10
					






G01N 2333/91182
					






G01N 2333/9104
					






G01N 2333/90241
					






G01N 2333/9015
					






C07K 2319/85
					






C12N 15/8213
					






C12N 15/8278
					






C12Y 305/04005
					






A01H 1/06
					






C12N 2310/20
					






C12N 15/113
					






View less classifications",,,"CN108866092

AR111790

AU2018264457

KR1020200008137

EP3622061

EA201992637

BR112019023377

JP2020519310

WO/2018/205995

US20210189416

CN115927437

UAa201911633This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20220267788",,,,,
EP290831791,18799388,European Patent Office,11.05.2018,3622061,18.03.2020,A4,"C12N 9/22
					






A01H 5/00
					






C12N 15/52
					






C12N 15/82
					








C12N 9/22
					






A01H 5/00
					






C12N 15/52
					






C12N 15/82
					






View less classifications",INST GENETICS & DEVELOPMENTAL BIOLOGY CASUNIV CHINA AGRICULTURAL,GAO CAIXIAJIANG LINJIAN,201710329242 11.05.2017 CN,,(DE) HERSTELLUNG VON HERBIZIDRESISTENTEM GEN UND DESSEN VERWENDUNG(EN) CREATION OF HERBICIDE RESISTANT GENE AND USE THEREOF(FR) CRÉATION D'UN GÈNE RÉSISTANT AUX HERBICIDES ET UTILISATION DE CELUI-CI,,"(EN) Provided is a method for creating herbicide resistant plant by CRISPR/Cas9 system. A method for screening endogenous gene mutation sites capable of conferring herbicide resistance in plants and the use of the identified endogenous gene mutation sites in crop breeding are provided too.(FR) L'invention concerne un procédé de création d'une plante résistante aux herbicides par un système CRISPR/Cas9. L'invention concerne également un procédé de criblage de sites de mutation de gène endogène capables de conférer une résistance aux herbicides à des plantes, et l'utilisation des sites de mutation de gène endogène identifiés dans l'amélioration génétique des cultures.","C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






View more classifications
							






C12N 9/0069
					






C12N 9/1022
					






C12N 9/1092
					






C12N 9/22
					






C12N 9/78
					






C12N 9/93
					






C12N 15/8201
					






C12N 15/8274
					






C12Q 1/25
					






C12Q 1/26
					






C12Q 1/48
					






C12Q 1/6895
					






C12Y 113/11027
					






C12Y 202/01006
					






C12Y 205/01019
					






C12Y 604/01002
					






C12Q 2600/13
					






C12Q 2600/156
					






C12N 2810/10
					






G01N 2333/91182
					






G01N 2333/9104
					






G01N 2333/90241
					






G01N 2333/9015
					






C07K 2319/85
					






C12N 15/8213
					






C12N 15/8278
					






C12Y 305/04005
					






A01H 1/06
					






C12N 2310/20
					






C12N 15/113
					






View less classifications",,,"CN108866092

AR111790

AU2018264457

KR1020200008137

EA201992637

BR112019023377

JP2020519310

WO/2018/205995

US20210189416

CN115927437

CA3062976

UAa201911633This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20220267788",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CN418698382,202310128189,China,17.02.2023,117264038,22.12.2023,A,"C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					








C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,CHEN LIMEI陈丽梅WU WEIHUA武维华JIA DONGYUN贾冬云LI XIDONG李希东,,,(EN) ZmMIEL1 and application thereof in cultivating drought-resistant plants(ZH) ZmMIEL1及其在培育抗旱植物中的应用,,"(EN) The invention discloses ZmMIEL1 and application of the ZmMIEL1 in cultivation of drought-resistant plants. The ZmMIEL1 disclosed by the invention is a protein of which the amino acid sequence is a sequence 3 or a sequence 5. The ZmMIEL1 gene is edited through a CRISPR/Cas9 gene editing method, and the growth performance of a mutant corn plant under the drought treatment condition is obviously better than that of a wild type. The relative water content of a mutant plant leaf under a drought condition is obviously higher than that of a control group, and the water loss rate of an in-vitro leaf of a mutant strain under a normal growth condition is obviously lower than that of the control group, so that the drought resistance of the plant can be obviously improved by mutation of the gene. A drought-resistant plant is obtained by editing the ZmMIEL1 gene, compared with a traditional breeding mode, the time is short, the purposiveness is high, a gene resource is provided for cultivating and improving a new variety of the drought-resistant plant, and a theoretical basis is provided for clarification of a molecular mechanism of the ZmMIEL1 in plant drought stress signal response.(ZH) 本发明公开了ZmMIEL1及其在培育抗旱植物中的应用。本发明公开的ZmMIEL1为氨基酸序列是序列3或序列5的蛋白质。本发明通过CRISPR/Cas9基因编辑方法对ZmMIEL1基因进行编辑，干旱处理条件下突变体玉米植株生长表现明显好于野生型。干旱条件下突变体植株叶片相对含水量显著高于对照，且正常生长条件下的突变体株系离体叶片失水速率明显低于对照，说明该基因的突变能够显著提高植物抗旱性。本发明通过编辑ZmMIEL1基因获得了抗旱的植株，与传统育种方式相比时间短，目的性强，为培育和改良抗旱植物新品种提供了基因资源，并为阐明ZmMIEL1在植物干旱逆境信号应答中的分子机制提供了理论依据。",,,,,北京纪凯知识产权代理有限公司 11245,,,,
KR322254252,1020200126742,Republic of Korea,29.09.2020,1020210039306,09.04.2021,A,"C12N 15/82
					






C12N 15/113
					






C12N 9/22
					








C12N 15/82
					






C12N 15/113
					






C12N 9/22
					






View less classifications",대한민국(농촌진흥청장)REPUBLIC OF KOREA(MANAGEMENT : RURAL DEVELOPMENT ADMINISTRATION),PARK SANG RYEOLHAN JUNG HEON박상렬한정헌,1020190121603 01.10.2019 KR,,"(EN) GENE EDITING METHOD USING TRANSGENIC PLANTS EXPRESSING CRISPR/Cas9 AND gRNA, RESPECTIVELY(KO) CRISPR/Cas9과 gRNA 개별 발현 형질전환 식물체를 이용한 유전자 편집 방법",,"(EN) The present invention relates to a method for editing a gene of a plant difficult to transform using a CRISPR/Cas9 expression plant and a gRNA expression plant, and the target gene editing method of the plant of the present invention can edit the target gene in the plant in which transformation is difficult or does not occur, thereby being able to be usefully sued for the development of novel plant materials. COPYRIGHT KIPO 2022(KO) 본 발명은 CRISPR/Cas9 발현 식물체와 gRNA 발현 식물체를 이용하여 형질전환이 어려운 식물체의 유전자를 편집하는 방법에 관한 것으로, 본 발명의 식물체의 목표 유전자 편집 방법은 형질전환이 어렵거나 또는 되지 않는 식물체에서 목표 유전자를 편집할 수 있어 새로운 식물체 소재 개발에 유용하게 활용할 수 있다.","C12N 15/8205
					






C12N 15/113
					






C12N 9/22
					






C12N 2310/20
					








C12N 15/8205
					






C12N 15/113
					






C12N 9/22
					






C12N 2310/20
					






View less classifications",,,,김진동,,,,
CN362108996,202011266390,China,13.11.2020,114478728,13.05.2022,B,"C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/54
					








C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/54
					






View less classifications",INSTITUTE OF MICROBIOLOGY OF CHINESE ACADEMY OF SCIENCES中国科学院微生物研究所,KONG ZHAOSHENG孔照胜ZHANG XIAXIA张霞霞WANG QI王琪HUANG YIGE黄弋戈WU JINGXIA吴菁霞,,,(EN) Application of nKCBP protein in regulation and control of nitrogen fixation capability of leguminous plants(ZH) nKCBP蛋白在调控豆科植物固氮能力中的应用,,"(EN) The invention discloses application of nKCBP protein in regulation and control of nitrogen fixation capacity of leguminous plants. The amino acid sequence of the nKCBP protein is as shown in SEQ ID No. 2. The inventor of the invention uses a CRISPR/Cas9 technology to edit the nKCBP gene at a fixed point and knock out the medicago truncatula nKCBP gene, so that the plant height and the nitrogen fixation capability are reduced. The invention is very important for researching the efficient nitrogen fixation mechanism of leguminous plants, and provides a new thought for improving the biological nitrogen fixation efficiency. The invention has important application value for plant breeding.(ZH) 本发明公开了nKCBP蛋白在调控豆科植物固氮能力中的应用。nKCBP蛋白的氨基酸序列是SEQ ID No.2所示。本发明的发明人利用CRISPR/Cas9技术定点编辑nKCBP基因，敲除了蒺藜苜蓿nKCBP基因，降低了株高和固氮能力。本发明对研究豆科植物高效固氮机制十分重要，为提高生物固氮效率提供了新思路。本发明对植物育种具有重大的应用价值。","C07K 14/415
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8261
					






C12N 2310/20
					








C07K 14/415
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8261
					






C12N 2310/20
					






View less classifications",114478728,21.07.2023,,北京纪凯知识产权代理有限公司 11245,,,,
CN332876948,202110473452,China,29.04.2021,113150096,23.07.2021,B,"C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/84
					






C12N 15/55
					






A01H 5/00
					






View more classifications
							






C07K 14/415
					






C12N 15/29
					






C12N 15/113
					






C12N 15/84
					






C12N 15/55
					






A01H 5/00
					






A01H 5/10
					






A01H 6/46
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",LIU CHANGLIN刘昌林XIE CHUANXIAO谢传晓XU YUNBI徐云碧LI XINHAI李新海ZHU JINJIE朱金洁QI XIANTAO祁显涛HUANG CHANGLING黄长玲LI LIANG黎亮,,,(EN) ZmFhb1 protein and application of encoding gene of ZmFhb1 protein in enhancement of resistance to maize ear rot(ZH) ZmFhb1蛋白及其编码基因在提高玉米穗腐病抗性中的应用,,"(EN) The invention relates to the technical field of plant genetic engineering, and specifically relates to ZmFhb1 protein and application of an encoding gene of the ZmFhb1 protein in enhancement of resistance to maize ear rot. The invention firstly finds that resistance of maize to ear rot can be significantly enhanced by inhibiting the expression of the encoding gene of the ZmFhb1 protein. Provided sgRNA and CRISPR/Cas9 knockout vectors can significantly enhance the specific targeting efficiency of CRISPR/Cas9 knockout vectors, so that the knockout efficiency of a maize gene Fhb1 can be enhanced. Meanwhile, maize germplasm resistant to ear rot can be rapidly created by the method, so that influences of the ear rot to maize cultivation can be reduced.(ZH) 本发明涉及植物基因工程技术领域，具体涉及ZmFhb1蛋白及其编码基因在提高玉米穗腐病抗性中的应用。本发明首次发现，通过抑制ZmFhb1蛋白的编码基因的表达，可以显著提高玉米对穗腐病的抗性。本发明所提供的sgRNA和CRISPR/Cas9敲除载体可以显著提高CRISPR/Cas9敲除载体的特异打靶效率，进而有利于提高玉米基因Fhb1基因的敲除效率。同时，按照本发明的方法可以快速创制抗穗腐病的玉米种质，进而能降低该病对玉米种植的影响。","C07K 14/415
					






C12N 15/8218
					






C12N 15/8282
					






C12N 15/8205
					






C12N 9/22
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/8282
					






C12N 15/8205
					






C12N 9/22
					






View less classifications",113150096,12.08.2022,,北京路浩知识产权代理有限公司 11002,,,,
CN427204963,202410149154,China,02.02.2024,117778459,29.03.2024,A,"C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/10
					






A01H 6/46
					








C12N 15/82
					






C07K 14/415
					






C12N 15/29
					






A01H 5/10
					






A01H 6/46
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,NI ZHONGFU倪中福SUN QIXIN孙其信LIU JING刘静LIU JIE刘杰SONG NA宋娜ZHANG YUFENG张玉峰,,,(EN) Application of wheat TaMFS1 protein and related biological materials thereof in regulation and control of plant grain size and grain weight(ZH) 小麦TaMFS1蛋白及其相关生物材料在调控植物籽粒大小和粒重中的应用,,"(EN) The invention discloses wheat TaMFS1 protein and application of related biological materials of the wheat TaMFS1 protein in regulation and control of plant grain size and grain weight. TaMFS1 genes in wheat A, B and D subgenomes are simultaneously subjected to gene editing through a CRISPR-Cas9 system for the first time, wheat TaMFS1 gene editing plants are obtained, field experiments prove that compared with wild receptor wheat, the TaMFS1 gene editing plants are both increased in seed grain length and thousand grain weight, the wheat TaMFS1 protein and related biological materials can be used for regulating the grain length and thousand grain weight of the plants, and the wheat TaMFS1 protein can be used for regulating the grain length and thousand grain weight of the plants. The method can be applied to plant molecular high-yield breeding and variety improvement in actual production.(ZH) 本发明公开了小麦TaMFS1蛋白及其相关生物材料在调控植物籽粒大小和粒重中的应用。本发明首次通过CRISPR‑Cas9系统同时对小麦A、B和D亚基因组中TaMFS1基因进行基因编辑，获得了小麦TaMFS1基因编辑植株，田间实验证实与野生型受体小麦相比，TaMFS1基因编辑植株的种子粒长和千粒重均增加，小麦TaMFS1蛋白及其相关生物材料可用于调控植株粒长和千粒重，在实际生产中可应用于植物分子高产育种和品种改良。","Y02A 40/146
					








Y02A 40/146
					






View less classifications",,,,北京纪凯知识产权代理有限公司 11245,,,,
CN357970310,202111349102,China,15.11.2021,114277053,05.04.2022,B,"C12N 15/84
					






C12N 15/113
					






C12N 15/29
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					








C12N 15/84
					






C12N 15/113
					






C12N 15/29
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					






View less classifications",SOUTH CHINA AGRICULTURE UNIVERSITY华南农业大学,ZHUO KAN卓侃HUANG QIULING黄秋玲LIN BAIRONG林柏荣LIAO JINLING廖金铃,,,(EN) Application of rice susceptible gene OsHPP04 in cultivation of root knot nematode disease resistant rice(ZH) 水稻感病基因OsHPP04在培育抗根结线虫病水稻中的应用,,"(EN) The invention discloses an application of a rice susceptible gene OsHPP04 in cultivation of root knot nematode disease resistant rice. According to the invention, a CRISPR/Cas9 gene editing technology is adopted, site-directed mutagenesis of an infected OsHPP04 gene is carried out in rice through an agrobacterium-mediated transgenic system so as to obtain a rice homozygous mutant plant with OsHPP04 function deletion, the homozygous mutant plant is subjected to root-knot nematode resistance determination, and the resistance determination shows that the homozygous mutant plant can significantly improve the resistance of rice root-knot nematode. According to the method, convenient and efficient rice gene editing can be achieved, the resistance of the obtained mutant plant to the root-knot nematode is remarkably improved, the defect that existing rice resistance resources are insufficient is overcome, and the method for improving the root-knot nematode disease resistance by applying fixed-point editing is provided so as to obtain a new root-knot nematode disease resistant rice strain with OsHPP04 function deficiency. And a new germplasm resource and a creation method are provided for breeding of high-quality disease-resistant rice.(ZH) 本发明公开了一种水稻感病基因OsHPP04在培育抗根结线虫病水稻中的应用。本发明采用CRISPR/Cas9基因编辑技术，通过农杆菌介导的转基因体系在水稻中定点突变感病OsHPP04基因，以获得OsHPP04功能缺失的水稻纯合突变植株，将纯合突变植株进行根结线虫的抗性测定，抗性测定表明纯合突变植株能显著提高水稻根结线虫的抗性。本发明方法可以实现方便高效的水稻基因编辑，获得的突变植株对根结线虫的抗性显著提高，克服现有水稻抗性资源不足，提供一种应用定点编辑提高根结线虫病抗性的方法，以获得OsHPP04功能缺失的抗根结线虫病水稻新品系，为优质抗病水稻育种提供了新的种质资源和创制方法。","Y02A 40/146
					








Y02A 40/146
					






View less classifications",114277053,19.03.2024,,广州粤高专利商标代理有限公司 44102,,,,
CN293083776,201911252076,China,09.12.2019,110923231,27.03.2020,B,"C12N 15/113
					






C12N 15/84
					






A01H 4/00
					






A01H 5/00
					






A01H 6/82
					








C12N 15/113
					






C12N 15/84
					






A01H 4/00
					






A01H 5/00
					






A01H 6/82
					






View less classifications",HORTICULTURE INSTITUTE OF XINJIANG ACADEMY OF AGRICULTURAL SCIENCE新疆农业科学院园艺作物研究所,WANG BAIKE王柏柯LI NING李宁WANG JUAN王娟YU QINGHUI余庆辉HUANG SHAOYONG黄少勇,,,(EN) Method for creating tomato material with high fruit solid content by using CRISPR/Cas9 gene editing system(ZH) 一种果实高固形物含量的番茄材料的创制方法,,"(EN) The invention belongs to the field of plant genetic engineering, and particularly discloses a method for creating a tomato material with a high fruit solid content by using a CRISPR/Cas9 gene editingsystem. The method comprises the following steps: (1) carrying out sequence analysis on a gene SIVPE5 which controls tomato solids to determine a specific sgRNA sequence; (2) constructing an expression vector containing sgRNA and Cas9 protein; (3) converting the recombinant vector into tomatoes with a low fruit solid content by an agrobacterium infection method to obtain T0 generation transgenic tomato plants; and (4) planting the T0 generation plants with mutation of the SIVPE5 gene sequence in a greenhouse, performing selfing to obtain T1 generation plants, and screening plants which contains no exogenous transgenic components, is subjected to homozygous mutation at the SIVPE5 gene and has a high fruit solid content from the T1 generation, namely the tomato material with high fruit solidcontent is obtained. The method has the advantages of low cost and short creation period, and the tomato material with high fruit solid content can be obtained within one year. In addition, the tomato material does not contain exogenous genes, and is safe and risk-free.(ZH) 本发明属于植物基因工程领域，具体公开了一种运用CRISPR/Cas9基因编辑系统创制果实高固形物含量的番茄材料的方法。包括步骤：（1）对控制番茄固形物的基因SIVPE5进行序列分析，确定特异的sgRNA序列；（2）构建含有sgRNA和Cas9蛋白的表达载体；（3）利用农杆菌侵染法将重组载体转化到果实低固形物含量的番茄中，获得T0代转基因番茄植株；（4）将SIVPE5基因序列发生突变的T0代植株种植于温室，自交获得T1代植株，从T1代中筛选不含有外源转基因成份但SIVPE5基因发生纯合突变且果实固形物含量高的植株，即为果实高固形物含量的番茄材料。本方法成本低，缩短创制周期，一年之内即可获得果实高固形物含量的番茄材料，且该番茄材料不含有外源基因，安全无风险。","A01H 4/00
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8243
					






C12N 2310/20
					








A01H 4/00
					






C12N 15/113
					






C12N 15/8218
					






C12N 15/8243
					






C12N 2310/20
					






View less classifications",110923231,09.04.2021,,乌鲁木齐博亚思知识产权代理事务所(普通合伙) 65110,,,,
CN251078884,201910371359,China,06.05.2019,110128518,16.08.2019,A,"C07K 14/415
					






C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C07K 14/415
					






C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",LIU YUNJUN刘允军ZHANG JIAOJIAO张姣姣WANG GUOYING王国英,,,(EN) Method of developing corn dwarfing material via gene editing(ZH) 利用基因编辑技术创制玉米矮化材料的方法,,"(EN) The invention provides a method of developing a corn dwarfing material via gene editing. The method comprises designing, for target gene ZmGA20ox3/ZmGA20ox5 of corn, a sgRNA based on CRISPR/Cas9, connecting a fragment having sgRNA-coding DNA to a Cas-carrying carrier, and converting the corn with the constructed carrier to achieve site-directed mutagenesis of the gene ZmGA20ox3/ZmGA20ox5 so as toobtain a transgenic corn plant with corresponding gene function deficiency. The biological functionality of the corn gene ZmGA20ox3/ZmGA20ox5 is disclosed herein for the first time; the corn gene ZmGA20ox3/ZmGA20ox5 is edited through CRISPR/Cas9 technology; a mutant material with no transgenic gene insert fragment is acquired through further screening; the corn dwarfing material has important breeding value.(ZH) 本发明提供一种利用基因编辑技术创制玉米矮化材料的方法，包括针对玉米中的目标基因ZmGA20ox3/ZmGA20ox5设计基于CRISPR/Cas9的sgRNA，将含有编码所述sgRNA的DNA片段连接到携带Cas的载体中，用构建的载体转化玉米，实现对基因ZmGA20ox3/ZmGA20ox5的定点突变，进而获得相应基因功能缺失的转基因玉米植株。本发明首次揭示了玉米ZmGA20ox3/ZmGA20ox5基因的生物学功能，通过CRISPR/Cas9技术对玉米ZmGA20ox3/ZmGA20ox5基因进行基因编辑，并进一步筛选获得不含转基因插入片段的突变体材料，这些玉米矮化材料具有重要的育种价值。","C07K 14/415
					






C12N 15/8261
					








C07K 14/415
					






C12N 15/8261
					






View less classifications",,,,北京路浩知识产权代理有限公司 11002北京路浩知识产权代理有限公司 11002,,,,
