Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Grant Number,Grant Date,Publication Kind,Applicants,IPC,CPC,Inventors,Agents,Address Picture 2,Title,Abstract,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Publication Language,Filing Language,Designated States,Chapter 2 Demand Filed,FI,F-term
EP355381128,21189033,European Patent Office,27.02.2015,3971283,23.03.2022,,,A1,MONSANTO TECHNOLOGY LLC,"C12N 5/00
					






C07H 21/02
					






C12N 5/02
					






C12N 15/00
					






C12N 15/82
					






C12P 19/34
					








C12N 5/00
					






C07H 21/02
					






C12N 5/02
					






C12N 15/00
					






C12N 15/82
					






C12P 19/34
					






View less classifications","C12N 15/8216
					






C12N 15/8213
					








C12N 15/8216
					






C12N 15/8213
					






View less classifications",BROWER-TOLAND BRENTKOURANOV ANDREI YKUEHN ROSEMARIELAWRENCE RICHARD JNAGY ERVIN DRYMARQUIS LINDA AVEENA VEENA,,,(DE) ZUSAMMENSETZUNGEN UND VERFAHREN ZUR STELLENGERICHTETEN GENOMMODIFIKATION(EN) COMPOSITIONS AND METHODS FOR SITE DIRECTED GENOMIC MODIFICATION(FR) COMPOSITIONS ET PROCÉDÉS DE MODIFICATION GÉNOMIQUE DIRIGÉE,"(EN) The disclosure provides novel corn, tomato, and soybean U6, U3, U2, U5, and 7SL snRNA promoters which are useful for CRISPR/Cas-mediated targeted gene modifications in plants. The disclosure also provides methods for use for U6, U3, U2, U5, and 7SL promoters in driving expression of sgRNA polynucleotides which function in a CRISPR/Cas system of targeted gene modification in plants. The disclosure also provides methods of genome modification by insertion of blunt-end DNA fragments at a site of genomic cleavage.",15755923 27.02.2015 EP201461945700 27.02.2014 US2015018104 27.02.2015 US,"CA3194412

US6447065

GB2364906

DE000010127370

EP3110945

US20170166912

CN106232803

WO/2015/131101

ES2898460

CA2940217

US20220135991

US20230212596

US20240209385",,,,,"View all
							



AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,
CN439687199,202410971243,China,19.07.2024,118652875,17.09.2024,,,A,NANJING AGRICULTURAL UNIVERSITY南京农业大学,"C12N 9/88
					






C12N 15/60
					






C12N 15/84
					






A01H 5/10
					






A01H 5/00
					






A01H 6/46
					








C12N 9/88
					






C12N 15/60
					






C12N 15/84
					






A01H 5/10
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 9/88
					






C12N 15/8273
					






C12N 15/8267
					






C12N 15/8216
					






C12N 15/8205
					






C12Y 402/01051
					








C12N 9/88
					






C12N 15/8273
					






C12N 15/8267
					






C12N 15/8216
					






C12N 15/8205
					






C12Y 402/01051
					






View less classifications",WU JIAWEN吴佳雯ZOU BAOHONG邹保红LIU HUIMIN刘慧敏HUA JIAN华健,青岛海盈智专利代理事务所(普通合伙) 37432,,(EN) Rice PD1 gene and application thereof in improving abiotic stress resistance of plants(ZH) 水稻PD1基因及其在提高植物抗非生物胁迫中的用途,"(EN) The invention belongs to the technical field of molecular biology, and discloses a rice PD1 gene and application thereof in improvement of abiotic stress resistance, especially low-temperature stress resistance of plants. The rice PD1 gene is subjected to knockout mutation in rice by adopting a CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) knockout technology, and the knockout mutant can obviously improve the germination rate and the seedling rate of the rice at low temperature. The invention proves that the function deletion of the rice PD1 gene can improve the abiotic adversity resistance of the rice, especially the cold resistance, can improve the rapid germination of the rice under the low-temperature stress, has important significance for ensuring the seedling emergence in the direct seeding rice field, and provides an important clue for promoting the production of the direct seeding rice.(ZH) 本发明分子生物学技术领域，公开了水稻PD1基因及其在提高植物抗非生物胁迫能力尤其是耐低温胁迫能力中的应用。本发明采用CRISPR敲除技术将水稻PD1基因在水稻中进行敲除突变，敲除突变体可以显著提高低温下水稻的发芽率和成苗率。本发明证明了水稻PD1基因功能的缺失能够提高水稻对非生物逆境抗性，尤其是耐冷性，可提高水稻在低温胁迫下快速萌发，对于保证直播稻田间出苗具有重要意义，为促进直播稻生产提供重要线索。",,,,,,,,,,
CN392029549,202110808845,China,16.07.2021,115700281,07.02.2023,,,A,HENAN AGRICULTURAL UNIVERSITY河南农业大学,"C12N 9/00
					






C12N 15/52
					






C12N 15/11
					






C12N 15/84
					






C12N 15/55
					






A01H 5/06
					






View more classifications
							






C12N 9/00
					






C12N 15/52
					






C12N 15/11
					






C12N 15/84
					






C12N 15/55
					






A01H 5/06
					






A01H 5/10
					






A01H 5/00
					






A01H 6/46
					






View less classifications",,DU CHANGQING杜长青WANG KE王珂ZHAO QUANZHI赵全志,郑州睿信知识产权代理有限公司 41119郑州睿信知识产权代理有限公司 41119,,(EN) Rice OsRGE3 gene as well as encoding protein and application thereof(ZH) 水稻OsRGE3基因及其编码蛋白与应用,"(EN) The invention relates to a rice OsRGE3 gene as well as an encoding protein and application thereof. According to the invention, a CRISPR/Cas9-OsRGE3 knockout vector is constructed, and rice is transformed by using an agrobacterium-mediated method, so that an OsRGE3 knockout mutant is obtained; tests prove that the root lengths of OsRGE3 gene function-deleted mutants Cas9-N1 and Cas9-N2 are obviously lengthened (P is less than 0.01) compared with that of wild type Nipponbare, which indicates that the extension of radicles in the germination period of rice can be obviously promoted by reducing the expression of the OsRGE3 gene, so that the drought tolerance of plants is improved. In addition, the growth of the rice root is beneficial to enhancing nutrient absorption of plants, so that the yield and the quality of the rice are influenced. The OsRGE3 gene provided by the invention provides a new excellent gene resource for rice molecular breeding, and has a good application prospect.(ZH) 本发明涉及水稻OsRGE3基因及其编码蛋白与应用。本发明通过构建CRISPR/Cas9‑OsRGE3敲除载体，利用农杆菌介导法转化水稻，获得OsRGE3敲除突变体；并经过试验证明，OsRGE3基因功能缺失突变体Cas9‑N1和Cas9‑N2的根长较野生型Nipponbare显著变长(P＜0.01)，表明降低OsRGE3基因的表达可显著促进水稻萌发期幼根的伸长，进而提高植物的耐旱性。此外，水稻根长增长有助于植株增强养分吸收，进而影响水稻产量和品质。本发明中的OsRGE3基因为水稻分子育种提供了新的优异基因资源，具有良好的应用前景。",,,,,,,,,,
CN418381583,202311128408,China,04.09.2023,117247964,19.12.2023,117247964,28.05.2024,B,NANJING AGRICULTURAL UNIVERSITY南京农业大学,"C12N 15/82
					






C12N 15/54
					






A01H 6/54
					






A01H 5/00
					








C12N 15/82
					






C12N 15/54
					






A01H 6/54
					






A01H 5/00
					






View less classifications","C12N 15/8283
					






C12N 15/8218
					






C12N 9/104
					








C12N 15/8283
					






C12N 15/8218
					






C12N 9/104
					






View less classifications",ZHI HAIJIAN智海剑LIU HUI刘慧WANG LIQUN王丽群YANG YUNHUA杨云华WANG DAGANG王大刚,南京天华专利代理有限责任公司 32218南京天华专利代理有限责任公司 32218,,(EN) Application of E3 ubiquitin ligase gene GmPUB20 capable of regulating soybean mosaic virus resistance(ZH) 一个能够调控大豆花叶病毒抗性的E3泛素连接酶基因GmPUB20的应用,"(EN) The invention discloses an application of an E3 ubiquitin ligase gene GmPUB20 capable of regulating and controlling soybean mosaic virus resistance. GmPUB20 sequences are subjected to gene editing by the aid of Crispr/Cas9 technologies, then soybean genetic transformation is carried out, stable genetic transgenic soybean progeny plants with GmPUB20 knocked out are subjected to soybean mosaic virus inoculation experiments, the transgenic soybean plants show remarkable disease resistance, and the GmPUB20 is shown to be a gene capable of negatively regulating and controlling soybean mosaic virus resistance. The gene and the protein sequence thereof obtained by the invention can be used for improving the resistance of soybean varieties to the soybean mosaic virus by utilizing a biotechnological means.(ZH) 本发明公开了一个能够调控大豆花叶病毒抗性的E3泛素连接酶基因GmPUB20的应用。本发明利用Crispr/Cas9技术对GmPUB20序列进行基因编辑后进行大豆遗传转化，然后对敲除掉GmPUB20的稳定遗传转基因大豆后代植株进行接种大豆花叶病毒实验，该转基因大豆植株表现出显著的抗病性，表明GmPUB20是一个负向调控抗大豆花叶病毒病的基因。本发明得到的这个基因及其蛋白序列可以利用生物技术手段对大豆品种针对大豆花叶病毒的抗性进行改良。",,,,,,,,,,
CN367894264,202011493037,China,17.12.2020,114645053,21.06.2022,114645053,07.04.2023,B,CHINESE AGRICULTURAL UNIVERSITY中国农业大学,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8273
					






C12N 15/8218
					








C07K 14/415
					






C12N 15/8273
					






C12N 15/8218
					






View less classifications",GONG ZHIZHONG巩志忠WANG YU王瑜JIANG SHAN蒋杉,北京纪凯知识产权代理有限公司 11245,,(EN) Application of ZmWRKY70 protein and coding gene thereof in plant drought resistance(ZH) ZmWRKY70蛋白及其编码基因在植物抗旱中的应用,"(EN) The invention discloses application of a ZmWRKY70 protein and a coding gene thereof in plant drought resistance. The DNA molecule provided by the invention is a WRKY70 gene and is as follows: (b1) a DNA molecule with a coding region as shown in a sequence 1 in a sequence table; (b2) a DNA molecule with a coding region as shown in a sequence 3 in the sequence table; after the WRKY70 gene provided by the invention is mutated by a CRISPR-Cas9 gene editing technology, the growth of a control plant which is not mutated under a drought treatment condition is obviously superior to that of a mutant plant, which shows that the drought resistance of the plant can be obviously reduced by gene mutation. In the embodiment of the invention, the drought-sensitive plant is obtained by adopting a CRISPR-Cas9 gene editing technology, compared with a traditional breeding mode, the time is short, the purposiveness is strong, a gene resource is provided for cultivating and improving a new variety of the drought-resistant plant, and a theoretical basis is provided for illuminating a molecular mechanism of a WRKY transcription factor in plant drought stress signal response.(ZH) 本发明公开了ZmWRKY70蛋白及其编码基因在植物抗旱中的应用。本发明提供的DNA分子，为WRKY70基因，是如下：(b1)编码区如序列表中序列1所示的DNA分子；(b2)编码区如序列表中序列3所示的DNA分子；本发明提供的WRKY70基因经CRISPR‑Cas9基因编辑技术突变后，干旱处理条件下未突变的对照植株生长明显优于突变体植株，说明该基因突变能够显著降低植物抗旱性。本发明实例中采用CRISPR‑Cas9基因编辑技术获得了旱敏感的植株，与传统育种方式相比时间短，目的性强，为培育和改良抗旱植物新品种提供了基因资源，为阐明WRKY转录因子在植物干旱逆境信号应答中的分子机制提供了理论依据。",,,,,,,,,,
CN429515739,202410265784,China,08.03.2024,118028521,14.05.2024,,,A,NANJING FORESTRY UNIVERSITY南京林业大学,"C12Q 1/6895
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/77
					








C12Q 1/6895
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/77
					






View less classifications","C12Q 1/6895
					






C12Q 1/6844
					






C12R 2001/77
					








C12Q 1/6895
					






C12Q 1/6844
					






C12R 2001/77
					






View less classifications",DAI TINGTING戴婷婷XU XIAOQIAO徐小侨ZANG JIAHUI臧家辉ZHANG XIAORUI张晓瑞TAO YUAN陶源CHEN CHAO陈超,镇江至睿专利代理事务所(普通合伙) 32529,,"(EN) Detection target, detection method and application of pine ulcer pathogenic bacteria(ZH) 松树脂溃疡病原菌检测靶标、检测方法及应用","(EN) The invention discloses a specific detection target FcircCM004511.1. G143. T1 of a pine ulcer pathogenic bacterium, and at the same time, the invention also establishes a visual detection method of a CRISPR-Cas12a (clustered regularly interspaced short palindromic repeats-associated 12a) system based on the specific detection target FcircCM004511.1. G143. T1. The method comprises the following steps: through a target DNA fragment amplified by recombinase polymerase, under the mediation of a crRNA sequence, guiding a CRISPR-Cas12a system to recognize and combine an amplification product and cut target double-stranded DNA to activate a non-specific nuclease function, then randomly cutting a single-stranded DNA fluorescent probe in the system to obtain a split product, and finally judging through color development detection of the split product. The specific fluorescence detection of the CRISPR-Cas12a is realized. The detection target is high in specificity, the detection method is high in visualization, the sensitivity can be as low as 1 pg.mu L <-1>, and the method has very high application value for preventing and detecting the F.circincatum carried on imported plants of a port at the same time.(ZH) 本发明公开了一种松树脂溃疡病原菌(Fusarium circinatum)的特异性检测靶标Fcir_CM004511.1.g143.t1，同时，本发明还基于该靶标建立了CRISPR‑Cas12a体系可视化检测方法。该方法通过重组酶聚合酶扩增后的目的DNA片段，再在crRNA序列介导下，引导CRISPR‑Cas12a体系对扩增产物进行识别结合并切割目标双链DNA激活非特异性核酸酶功能，然后任意切割体系中的单链DNA荧光探针得到裂解产物，最后通过裂解产物的显色检测进行判断，实现CRISPR‑Cas12a的特异性荧光检测。该检测靶标特异性强，检测方法可视化强，在灵敏度上可低至1pg·μL<supgt;‑1</supgt;，对于港口的进境植物上携带的松树脂溃疡病病原菌(F.circinatum)实现即检即防，具有很高的应用价值。",,,,,,,,,,
CN357086318,202111446875,China,30.11.2021,114231664,25.03.2022,114231664,28.07.2023,B,SOUTH CHINA AGRICULTURE UNIVERSITY华南农业大学,"C12Q 1/70
					






C12Q 1/6818
					






C12Q 1/6806
					






C12N 15/11
					






C12R 1/93
					








C12Q 1/70
					






C12Q 1/6818
					






C12Q 1/6806
					






C12N 15/11
					






C12R 1/93
					






View less classifications","C12Q 1/701
					






C12Q 1/6818
					






C12Q 1/6806
					






Y02A 50/30
					








C12Q 1/701
					






C12Q 1/6818
					






C12Q 1/6806
					






Y02A 50/30
					






View less classifications",WANG QING王庆HUANG FENGQI黄枫淇QIN QIWEI秦启伟YANG MIN杨敏DUAN XUZHUO段旭琢LIANG KAISHAN梁凯珊JIA XIANZE贾弦泽,广州市时代知识产权代理事务所(普通合伙) 44438,,(EN) Detection kit and detection method for nervous necrosis virus RGNNV of epinephelus akaara(ZH) 一种赤点斑石斑鱼神经坏死病毒RGNNV检测试剂盒及检测方法,"(EN) The invention provides an epinephelus akaara nervous necrosis virus RGNNV detection kit and a detection method thereof, the epinephelus akaara nervous necrosis virus RGNNV detection kit comprises an RGNNV primer group, the primer group comprises a forward primer and a reverse primer, the sequence of the forward primer is as shown in SEQ ID NO.1, and the sequence of the reverse primer is as shown in SEQ ID NO.2; the method further comprises the step of adding a T7 promoter sequence to the front section of the forward primer, the T7 promoter sequence is shown as SEQ ID NO.3, and the forward primer sequence added with the T7 promoter sequence is shown as SEQ ID NO.4. The detection method comprises the following steps: S1, extraction of RGNNV virus RNA, reverse transcription of the virus RNA, nucleic acid amplification and in-vitro transcription; s2, establishment of a CRISPR-Cas13a detection system is carried out; s3, adding RNA (Ribonucleic Acid) of a sample to be detected into the mixture obtained in the step S2; and S4, detecting a fluorescence value. The detection method disclosed by the invention is good in specificity, high in sensitivity, good in repeatability, high in accuracy, capable of rapidly detecting RGNNV, low in detection cost and relatively high in application value and popularization prospect.(ZH) 本发明提供一种赤点斑石斑鱼神经坏死病毒RGNNV检测试剂盒及其检测方法，包括RGNNV引物组，所述引物组包括正向引物和反向引物，正向引物序列如SEQ ID NO.1所示，反向引物序列如SEQ ID NO.2所示；还包括在正向引物前段加上T7启动子序列，所述T7启动子序列如SEQ ID NO.3所示，得到添加了T7启动子序列的正向引物序列如SEQ ID NO.4所示。本发明检测方法，包括以下步骤：S1.RGNNV病毒RNA的提取、病毒RNA逆转录、核酸扩增、体外转录；S2.CRISPR‑Cas13a检测体系的建立；S3.将待测样品RNA添加到步骤S2得到的混合物中；S4.检测荧光值。本发明检测方法特异性好、灵敏度高、重复性好,准确度高,可快速地检测RGNNV检测成本低,具有较高的应用价值和推广前景。",,,,,,,,,,
CN350463911,202111391727,China,19.11.2021,113980979,28.01.2022,113980979,09.02.2024,B,YUNNAN ACADEMY OF TOBACCO AGRICULTURE SCIENCE云南省烟草农业科学研究院,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/00
					






A01H 6/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/00
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/8243
					






C12N 15/8205
					






Y02A 50/30
					








C07K 14/415
					






C12N 15/8243
					






C12N 15/8205
					






Y02A 50/30
					






View less classifications",JIAO FANGCHAN焦芳婵GAO YULONG高玉龙WANG BINGWU王丙武ZHAO LU赵璐SUI XUEYI隋学艺SONG ZHONGBANG宋中邦KONG GUANGHUI孔光辉ZHANG YIHAN张谊寒WU XINGFU吴兴富LI YONGPING李永平,北京海虹嘉诚知识产权代理有限公司 11129,,(EN) NtLHY1 gene capable of regulating and controlling potassium content of tobacco leaves and application of NtLHY1 gene(ZH) 一种可调控烟叶钾含量的NtLHY1基因及其应用,"(EN) The invention relates to the technical field of genetic engineering, and relates to a gene for regulating and controlling the potassium content of tobacco leaves, in particular to an NtLHY1 gene capable of regulating and controlling the potassium content of the tobacco leaves and application of the NtLHY1 gene. The invention provides an NtLHY1 gene for regulating and controlling the potassium content of tobacco leaves. The nucleotide sequence of the NtLHY1 gene is shown as SEQ ID NO. 1. The invention further provides application of the NtLHY1 gene for regulating and controlling the potassium content of the tobacco leaves, after the gene is knocked out through CRISPR/cas9, the potassium content of the tobacco leaves is remarkably reduced compared with that of a control group, and it can be seen that the NtLHY1 gene participates in regulation and control of the potassium content of the tobacco leaves. According to the invention, the regulation and control function of the NtLHY1 gene on the potassium content of the tobacco is defined, a new evidence is provided for analyzing a molecular regulation and control mechanism of the potassium ion content of the tobacco, and a new thought is provided for regulating and controlling the cultivation of the tobacco with increased potassium content through gene expression.(ZH) 本发明涉及基因工程技术领域，涉及调控烟叶钾含量的基因，具体涉及一种可调控烟叶钾含量的NtLHY1基因及其应用。本发明提供一种调控烟叶钾含量的NtLHY1基因，其核苷酸序列如SEQ ID NO.1所示。还提供一种基于所述调控烟叶钾含量的NtLHY1基因的应用，通过CRISPR/cas9敲除该基因后烟叶钾含量与对照相比显著降低，可见NtLHY1基因参与了烟草钾含量的调控。本发明明确了NtLHY1基因对烟叶钾含量的调控功能，为解析烟草钾离子含量的分子调控提机制供了新的证据，也为通过基因表达调控培育钾含量提高的烟草提供新的思路。",,,,,,,,,,
CN393824497,202211498755.X,China,28.11.2022,115747249,07.03.2023,115747249,16.07.2024,B,HUNAN UNIVERSITY湖南大学,"C12N 15/82
					






C12N 15/54
					






C12N 9/12
					






A01H 5/00
					






A01H 6/82
					








C12N 15/82
					






C12N 15/54
					






C12N 9/12
					






A01H 5/00
					






A01H 6/82
					






View less classifications",,YU FENG于峰ZHANG YI张意WANG LONG汪龙WU DOUSHENG伍斗生ZHU SIRUI朱思睿,长沙和雅知识产权代理事务所(普通合伙) 43238,,(EN) Application of tobacco NtabCrRLK12 gene in removing continuous cropping obstacle of tobacco(ZH) 烟草NtabCrRLK12基因在解除烟草连作障碍中的应用,"(EN) The invention belongs to the technical field of agriculture, particularly relates to application of an NtabCrRLK12 tobacco mutant to removal of continuous cropping obstacles of tobaccos, finds that an NtabCrRLK12 gene is a key factor for influencing rice root soil to remove the continuous cropping obstacles of the tobaccos, and discloses application of the NtabCrRLK12 gene or a biological material containing the NtabCrRLK12 gene to removal of the continuous cropping obstacles of the tobaccos. The NtabCrRLK12 gene in the tobacco is subjected to site-directed mutagenesis by utilizing gene editing, physical mutagenesis or chemical mutagenesis, and an excellent gene resource for relieving the continuous cropping obstacle of the tobacco is obtained and applied. The NtabCrRLK12 gene in the tobacco is knocked out at a fixed point through a CRISPR/Cas9 editing technology, and a gene mutation material has a good effect in removing the tobacco.(ZH) 本发明属于农业技术领域，具体涉及NtabCrRLK12烟草突变体解除烟草连作障碍中的应用，本发明发现NtabCrRLK12基因是影响水稻根系土壤解除烟草连作障碍的关键因子，公开了NtabCrRLK12基因或含有NtabCrRLK12基因的生物材料在解除烟草连作障碍中的应用，还利用基因编辑、物理诱变或化学诱变对烟草中NtabCrRLK12基因进行定点突变，获得并应用解除烟草连作障碍优异的基因资源。通过CRISPR/Cas9编辑技术定点敲除烟草中的NtabCrRLK12基因，基因突变材料在解除烟草中具有良好的作用。",,,,,,,,,,
EP241455983,17739336,European Patent Office,20.06.2017,3472325,24.04.2019,,,B1,KEYGENE NV,"C12N 15/82
					






A01H 4/00
					






C12N 5/14
					






C12N 9/22
					








C12N 15/82
					






A01H 4/00
					






C12N 5/14
					






C12N 9/22
					






View less classifications","A01H 4/00
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/11
					






View more classifications
							






A01H 4/00
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/11
					






C12N 15/102
					






C12N 2800/80
					






View less classifications",BUNDOCK PAULKETELAARS-BONNÉ ANITA,,,(DE) VERFAHREN ZUR GEZIELTEN DNA-VERÄNDERUNG IN PFLANZENZELLEN(EN) METHOD FOR TARGETED DNA ALTERATION IN PLANT CELLS(FR) PROCÉDÉ DE MODIFICATION CIBLÉE DE L'ADN DANS DES CELLULES VÉGÉTALES,"(EN) Disclosed is a new method of providing plant cells with a targeted alteration in a DNA molecule. The method comprises contacting a population of plant cells comprising a DNA molecule, the DNA molecule having a target sequence, with an aqueous medium, wherein the aqueous medium comprises a CRISPR associated protein (CAS protein) or a CAS-like protein, and a CRISPR-Cas system guide RNA that hybridizes with the target sequence, and wherein the aqueous medium comprises polyethylene glycol (PEG), but needs to be substantially free of glycerol.(FR) L'invention concerne un nouveau procédé de production de cellules végétales présentant une modification ciblée dans une molécule d'ADN. Le procédé comprend la mise en contact d'une population de cellules végétales comprenant une molécule d'ADN, la molécule d'ADN ayant une séquence cible, avec un milieu aqueux, le milieu aqueux comprenant une protéine associée à CRISPR (protéine CAS) ou une protéine de type CAS, et un ARN de guidage de système CRISPR-Cas qui s'hybride avec la séquence cible. Le milieu aqueux comprend du polyéthylène glycol (PEG), mais doit être sensiblement exempt de glycérol.",2016998 20.06.2016 NL,"AU2017282623

CA3027869

KR1020190020035

WO/2017/222370

JP2019517805

US20190367933

DK3472325

FIEP3472325

ES2981548

IL263595",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,
WO2017222370,PCT/NL2017/050408,,,WO/2017/222370,28.12.2017,,,,"KEYGENE N.V.
							[NL]/[NL]","C12N 15/82
					

2006.1
					



C12N 9/22
					

2006.1
					



A01H 4/00
					

2006.1
					



C12N 5/14
					

2006.1
					





C12N 15/82
					

2006.1
					



C12N 9/22
					

2006.1
					



A01H 4/00
					

2006.1
					



C12N 5/14
					

2006.1
					



View less classifications","A01H 4/00
					






C12N 15/102
					






C12N 15/11
					






C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					






View more classifications
							






A01H 4/00
					






C12N 15/102
					






C12N 15/11
					






C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					






C12N 2800/80
					






C12N 9/22
					






View less classifications","GOMMANS, Willemijn M.",,,(EN) METHOD FOR TARGETED DNA ALTERATION IN PLANT CELLS(FR) PROCÉDÉ DE MODIFICATION CIBLÉE DE L'ADN DANS DES CELLULES VÉGÉTALES,"(EN) Disclosed is a new method of providing plant cells with a targeted alteration in a DNA molecule. The method comprises contacting a population of plant cells comprising a DNA molecule, the DNA molecule having a target sequence, with an aqueous medium, wherein the aqueous medium comprises a CRISPR associated protein (CAS protein) or a CAS-like protein, and a CRISPR-Cas system guide RNA that hybridizes with the target sequence, and wherein the aqueous medium comprises polyethylene glycol (PEG), but needs to be substantially free of glycerol.(FR) L'invention concerne un nouveau procédé de production de cellules végétales présentant une modification ciblée dans une molécule d'ADN. Le procédé comprend la mise en contact d'une population de cellules végétales comprenant une molécule d'ADN, la molécule d'ADN ayant une séquence cible, avec un milieu aqueux, le milieu aqueux comprenant une protéine associée à CRISPR (protéine CAS) ou une protéine de type CAS, et un ARN de guidage de système CRISPR-Cas qui s'hybride avec la séquence cible. Le milieu aqueux comprend du polyéthylène glycol (PEG), mais doit être sensiblement exempt de glycérol.",201699820.06.2016NL,"AU2017282623

CA3027869

KR1020190020035

EP3472325

JP2019517805

US20190367933

DK3472325

FIEP3472325

ES2981548

IL263595",PCT/NL2017/050408,20.06.2017,English (en),English (en),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, SM, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,
CA235450285,3027869,Canada,20.06.2017,3027869,28.12.2017,,,A1,KEYGENE N.V.,"A01H 4/00
					






C12N 5/14
					






C12N 9/22
					






C12N 15/82
					








A01H 4/00
					






C12N 5/14
					






C12N 9/22
					






C12N 15/82
					






View less classifications","A01H 4/00
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/11
					






View more classifications
							






A01H 4/00
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/11
					






C12N 15/102
					






C12N 2800/80
					






View less classifications","BUNDOCK, PAULKETELAARS-BONNE, ANITA",,,(EN) METHOD FOR TARGETED DNA ALTERATION IN PLANT CELLS(FR) PROCEDE DE MODIFICATION CIBLEE DE L'ADN DANS DES CELLULES VEGETALES,"(EN) Disclosed is a new method of providing plant cells with a targeted alteration in a DNA molecule. The method comprises contacting a population of plant cells comprising a DNA molecule, the DNA molecule having a target sequence, with an aqueous medium, wherein the aqueous medium comprises a CRISPR associated protein (CAS protein) or a CAS-like protein, and a CRISPR-Cas system guide RNA that hybridizes with the target sequence, and wherein the aqueous medium comprises polyethylene glycol (PEG), but needs to be substantially free of glycerol.(FR) L'invention concerne un nouveau procédé de production de cellules végétales présentant une modification ciblée dans une molécule d'ADN. Le procédé comprend la mise en contact d'une population de cellules végétales comprenant une molécule d'ADN, la molécule d'ADN ayant une séquence cible, avec un milieu aqueux, le milieu aqueux comprenant une protéine associée à CRISPR (protéine CAS) ou une protéine de type CAS, et un ARN de guidage de système CRISPR-Cas qui s'hybride avec la séquence cible. Le milieu aqueux comprend du polyéthylène glycol (PEG), mais doit être sensiblement exempt de glycérol.",2016998 20.06.2016 NL,,,,,,,,,
