Application Id,Application Number,Office,Application Date_page,Grant Number,Grant Date,Applicants,Title_page,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Application Date_list,Country,latitude,longitude,applicant_city_name,applicant_state_name,applicant_country_name,crop,Days Between Application and Grant,Granted,Application Year,Grant Year,Has Related Patent Documents,purpose
WO2022047135,PCT/US2021/047913,,,,,"Pairwise Plants Services, Inc.",(EN) ENGINEERED CRISPR-CAS PROTEINS AND METHODS OF USE THEREOF(FR) PROTÉINES CRISPR-CAS INGÉNIÉRISÉES ET LEURS PROCÉDÉS D'UTILISATION,"63/071,73428.08.2020US","AU2021331344

CA3192195

KR1020230058090

EP4204436

JP2023539668

CN116745415

NZ797276

IL300823

MX2023002160

CL2023000554

BR112023003573This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN202347022446This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

SG11202301230XThis application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2021/047913,27.08.2021,27.08.2021,World Intellectual Property Organization,35.99012121,-78.89092283,,,,Crop plants,,False,,,True,Gene Editing Systems Development
WO2021092130,PCT/US2020/059045,,,,,"Pairwise Plants Services, Inc.",(EN) COMPOSITIONS AND METHODS FOR RNA-ENCODED DNA-REPLACEMENT OF ALLELES(FR) COMPOSITIONS ET PROCÉDÉS DE REMPLACEMENT D'ALLÈLES D'ADN CODÉ PAR L'ARN,"62/930,83605.11.2019US","JP2023505600

EP4054621

BR112022008415

CN114901302

KR1020220110748

CA3160186

SG11202204171Q

AU2020380319

US20210130835

NZ787446

IL292434

BR112022008415This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

CL2022001145

MX2022005328

US20240158804

US20240167045",PCT/US2020/059045,05.11.2020,05.11.2020,World Intellectual Property Organization,35.99012121,-78.89092283,,,,Crop plants,,False,,,True,Gene Editing Systems Development
CN328303501,202110241224,China,2021-03-04,112961226.0,2023-05-02,Chinese People'S Liberation Army Army Specialized Medical Center西部（重庆）,(EN) III-A type CRISPR-Cas system inhibitor AcrIIIA1 and application thereof(ZH) III-A型CRISPR-Cas系统抑制剂AcrIIIA1及其应用,,,,,,,29.535509,106.448107,,Chong Qing Shi,China,Crop plants,789.0,True,2021.0,2023.0,False,Gene Editing Systems Development
CN419775443,202311236119,China,2023-09-22,,,"Oil Crops Research Institute, Chinese Academy Of Agricultural Sciences",(EN) Nucleic acid detection method for nanogold enhanced CRISPR/dCas9 mediated fluorescence resonance energy transfer(ZH) 纳米金增强的CRISPR/dCas9介导的荧光共振能量转移的核酸检测方法,,,,,,,30.581532,114.344114,Wu Han Shi,Hu Bei Sheng,China,Crop plants,,False,2023.0,,False,Other Purpose
KR399816027,1020210172065,Republic of Korea,2021-12-03,,,대한민국(농촌진흥청장)Republic Of Korea(Management : Rural Development Administration),(EN) METHOD FOR PRODUCING PLANTS WITH INCREASED POLYUNSATURATED FATTY ACID CONTENT USING CRISPR/Cas9 SYSTEM(KO) CRISPR/Cas9 시스템을 이용한 다중불포화지방산 함량이 증진된 식물 제조방법,,,,,03.12.2021,South Korea,35.8311352,127.0561373,Jeonju,Jeonbuk State,South Korea,Crop plants,,False,2021.0,,False,Other Genetic Improvement for Crop Traits
WO2018237197,PCT/US2018/038839,,,,,"Noble Research Institute, Llc",(EN) CRISPR-MEDIATED SELECTIVE GENE DISRUPTION IN PLANTS(FR) DISRUPTION GÉNIQUE SÉLECTIVE MÉDIÉE PAR CRISPR DANS DES PLANTES,"62/523,02521.06.2017US",,PCT/US2018/038839,21.06.2018,21.06.2018,World Intellectual Property Organization,34.1857525,-97.0867899,Ardmore,Oklahoma,United States,Switchgrass,,False,,,False,Gene Editing Systems Development
CN347715443,202111149852,China,2021-09-29,113862236.0,2023-09-19,Nantong University,(EN) Oryza sativa L. calcineurin B protein interaction protein kinase and application thereof in breeding(ZH) 一种水稻类钙调磷酸酶B蛋白互作蛋白激酶及其在育种中的应用,,,,,,,32.006493,120.886132,Nan Tong Shi,Jiang Su Sheng,China,Rice,720.0,True,2021.0,2023.0,False,Pesticide Resistance
CN350475990,202111390729,China,2021-11-23,113999850.0,2023-06-23,Yunnan Agricultural University,(EN) Potato U6 RNA polymerase III type promoter and cloning and application thereof(ZH) 马铃薯U6 RNA聚合酶III型启动子及其克隆与应用,,,,,,,25.124795,102.742834,Kun Ming Shi,Yun Nan Sheng,China,"Potatoes, Tobacco",577.0,True,2021.0,2023.0,False,Gene Editing Systems Development
CN426775360,202410181709,China,2024-02-19,117737069.0,2024-06-11,"Harbin Veterinary Research Institute, Caas (Harbin Branch Of China Animal Health And Epidemiology Center)中国农业科学院哈尔滨兽医研究所（中国动物卫生与流行病学中心哈尔滨分中心）Shenzhen Agricultural Genome Institute Of Chinese Academy Of Agricultural Sciences (Lingnan Modern Agriculture Science And Technology Guangdong Province Shenzhen Branch Center)中国农业科学院深圳农业基因组研究所（岭南现代农业科学与技术广东省实验室深圳分中心）",(EN) CRISPR-Cas12a-based BVDV specific crRNA and related kit and detection method thereof(ZH) 一种基于CRISPR-Cas12a的BVDV特异crRNA及其相关试剂盒与检测方法,,,,,,,45.763191,126.6643229,Ha Er Bin Shi,Hei Long Jiang Sheng,China,Crop plants,113.0,True,2024.0,2024.0,False,Other Purpose
WO2021087182,PCT/US2020/058082,,,,,"Pairwise Plants Services, Inc.",(EN) TYPE V CRISPR-CAS BASE EDITORS AND METHODS OF USE THEREOF(FR) ÉDITEURS À BASE DE CRISPR-CAS DE TYPE V ET MÉTHODES D'UTILISATION DE CEUX-CI,"62/927,91430.10.2019US","CA3158897

US20210130827

AU2020372931

SG11202204012U

KR1020220110739

CN114867852

EP4051788

JP2023501223

EP4471149

NZ787352",PCT/US2020/058082,30.10.2020,30.10.2020,World Intellectual Property Organization,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,,,True,Gene Editing Systems Development
CN418379260,202310639011,China,2023-05-31,,,"Crop Research Institute, Shandong Academy Of Agricultural Sciences",(EN) Method for activating expression of silent Glu-1Ax subunit of wheat and related biological material(ZH) 激活小麦沉默的Glu-1Ax亚基表达的方法及其相关生物材料,,,,,,,36.7084734,117.0773869,Ji Nan Shi,Shan Dong Sheng,China,Wheat,,False,2023.0,,False,Yield Improvement
CN420671221,202310415114,China,2021-11-23,,,Yunnan Agricultural University,(EN) Potato U6 gene promoter StU6 8-1 and cloning and application thereof(ZH) 马铃薯U6基因启动子StU6 8-1及其克隆与应用,,,,,,,25.124795,102.742834,Kun Ming Shi,Yun Nan Sheng,China,"Potatoes, Tobacco",,False,2021.0,,False,Gene Editing Systems Development
CN319673335,201910745322,China,2019-08-13,112391403.0,2023-01-06,"Suzhou Jinxin Biotechnology Co., Ltd.",(EN) Application of TGW10 gene for improving crop grain shape characters(ZH) TGW10基因在用于改良农作物粒型性状中的应用,,,,,,,31.293262,120.609775,Su Zhou Shi,Jiang Su Sheng,China,Rice,1242.0,True,2019.0,2023.0,False,Yield Improvement
CN283957548,201911080944,China,2019-11-07,110747186.0,2021-07-30,Peking University,(EN) CRISPR/Cas9 system and method for efficiently producing mutant plants without carrying transgenic elements in plants(ZH) 在植物中高效生成不携带转基因元件的突变体的CRISPR/Cas9系统和方法,,,,,,,39.986913,116.3058739,,Bei Jing Shi,China,Crop plants,631.0,True,2019.0,2021.0,False,Gene Editing Systems Development
CN207679119,201710466017.X,China,2017-06-19,,,"Biogle Genome Technology (Jiangsu) Co., Ltd.",(EN) Large-scale genome editing method applicable to plants(ZH) 一种适用于植物的大规模基因组编辑的方法,,,,,19.06.2017,China,32.39065,119.88708,Taizhou,Jiangsu,China,Crop plants,,False,2017.0,,False,Gene Editing Systems Development
CN321265669,202011529612,China,2020-12-22,,,"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences","(EN) Composition for detecting African swine fever virus LAMP-CRISPR, detection kit and detection method(ZH) 一种非洲猪瘟病毒LAMP-CRISPR检测用组合物、检测试剂盒和检测方法",,,,,,,36.082643,103.853777,Lan Zhou Shi,Gan Su Sheng,China,Crop plants,,False,2020.0,,False,Other Purpose
CN405891919,202310197445,China,2021-03-04,116535473.0,2024-04-30,Western (Chongqing) Science City Germplasm Creation Science Center西部（重庆）科学城种质创制大科学中心Chinese People'S Liberation Army Army Specialized Medical Center,(EN) Effector AcrIIIA2TEM123 for controlling CRISPR-Cas editing system and application of effector AcrIIIA2TEM123(ZH) 控制CRISPR-Cas编辑系统的效应子AcrIIIA2TEM123及其应用,,,,,,,29.571912,106.578303,,Chong Qing Shi,China,Crop plants,1153.0,True,2021.0,2024.0,False,Gene Editing Systems Development
CN241723585,201910047441,China,2019-01-18,,,Shenzhen University,(EN) Efficient CRISPR-CAS9 gene editing vector in arabidopsis thaliana and construction method thereof(ZH) 拟南芥中高效CRISPR-CAS9基因编辑载体及构建方法,,,,,,,22.53306,113.932813,Shen Zhen Shi,Guang Dong Sheng,China,Other plants,,False,2019.0,,False,Gene Editing Systems Development
EP393008924,21793745,European Patent Office,2021-04-20,,,Univ California,(DE) CRISPR-SYSTEME IN PFLANZEN(EN) CRISPR SYSTEMS IN PLANTS(FR) SYSTÈMES CRISPR DANS DES PLANTES,202063012634 20.04.2020 US202163146468 05.02.2021 US,"WO/2021/216512

US20230159943",,,20.04.2021,European Patent Office,34.0699182,-118.4438495,Los Angeles,California,United States,Crop plants,,False,2021.0,,True,Gene Editing Systems Development
CN438257245,202410771410,China,2024-06-14,,,Beijing Academy Of Agriculture And Forestry Sciences,(EN) Method for remarkably improving goldfish CRISPR-LbCas12a gene editing efficiency and application thereof(ZH) 一种显著提高金鱼CRISPR-LbCas12a基因编辑效率的方法及其应用,,,,,,,39.9438284,116.2870162,,Bei Jing Shi,China,Other plants,,False,2024.0,,False,Gene Editing Systems Development
CN283955658,201911035382,China,2019-10-29,,,Guangxi Academy Of Agricultural Sciences,(EN) Method for creating new crop germplasm with broad-spectrum resistance to stripe disease through gene editing and application of method(ZH) 通过基因编辑创制广谱抗细条病作物新种质的方法及其应用,,,,,,,22.841119,108.249658,Nan Ning Shi,Guang Xi Zhuang Zu Zi Zhi Qu,China,Rice,,False,2019.0,,False,Disease Resistance
CN332891147,202110175766,China,2021-02-09,113151346.0,2022-11-08,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) CRISPR/Cas9 system mediated wheat polygene knockout editing system(ZH) 一种CRISPR/Cas9系统介导的小麦多基因敲除编辑体系,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Wheat,637.0,True,2021.0,2022.0,False,Gene Editing Systems Development
WO2021216512,PCT/US2021/028105,,,,,"Ellison, Cory",(EN) CRISPR SYSTEMS IN PLANTS(FR) SYSTÈMES CRISPR DANS DES PLANTES,"63/012,63420.04.2020US63/146,46805.02.2021US","EP4139447

US20230159943",PCT/US2021/028105,20.04.2021,20.04.2021,World Intellectual Property Organization,40.719383,-73.584118,Uniondale,New York,United States,Crop plants,,False,,,True,Gene Editing Systems Development
WO2015048707,PCT/US2014/058188,,,,,"Kaytor, Elizabeth N.",(EN) CONFERRING RESISTANCE TO GEMINIVIRUSES IN PLANTS USING CRISPR/CAS SYSTEMS(FR) RÉSISTANCE AUX GEMINIVIRUS CONFÉRÉE À DES PLANTES AU MOYEN DE SYSTÈMES CRISPR/CAS,"61/884,23630.09.2013US",US20160237451,PCT/US2014/058188,30.09.2014,30.09.2014,World Intellectual Property Organization,40.9041902,-73.9686547,Englewood,New Jersey,United States,Crop plants,,False,,,True,Disease Resistance
WO2018197520,PCT/EP2018/060510,,,,,"Mallalieu, Catherine",(EN) METHODS AND COMPOSITIONS OF ANTI-CRISPR PROTEINS FOR USE IN PLANTS(FR) PROCÉDÉS ET COMPOSITIONS DE PROTÉINES ANTI-CRISPR DESTINÉS À ÊTRE UTILISÉS DANS DES PLANTES,"62/488,96924.04.2017US62/488,98124.04.2017US62/510,89625.05.2017US62/510,91425.05.2017US","EP3615552

CN110891965

BR112019022201

US20200190492

IN201917043473",PCT/EP2018/060510,24.04.2018,24.04.2018,World Intellectual Property Organization,40.7323585,-73.9873367,New York,New York,United States,Crop plants,,False,,,True,Gene Editing Systems Development
WO2016185411,PCT/IB2016/052918,,,,,,(EN) METHOD OF INHIBITING PLANT VIRUS PATHOGEN INFECTIONS BY CRISPR/CAS9-MEDIATED INTERFERENCE(FR) PROCÉDÉ D’INHIBITION D’INFECTIONS PAR DES PATHOGÈNES VIRAUX DES VÉGÉTAUX PAR INTERFÉRENCE À MÉDIATION PAR CRISPR/CAS9,"62/162,85618.05.2015US","EP3298149

US20190106706",PCT/IB2016/052918,18.05.2016,18.05.2016,World Intellectual Property Organization,,,,,,"Tobacco, Tomatoes",,False,,,True,Disease Resistance
CN365359358,202210069861.X,China,2022-01-21,114574467.0,2023-05-23,South China Agriculture University,(EN) Gene expression regulation system and application thereof(ZH) 一种基因表达调控系统及其应用,,,,,21.01.2022,China,23.1568182,113.3536811,Guang Zhou Shi,Guang Dong Sheng,China,Crop plants,487.0,True,2022.0,2023.0,False,Gene Editing Systems Development
CN440759204,202410771410.X,China,2024-06-14,,,Beijing Academy Of Agriculture And Forestry Sciences,(EN) Application of CRISPR-AsCas12a system in goldfish gene editing(ZH) CRISPR-AsCas12a系统在金鱼基因编辑中的应用,,,,,14.06.2024,China,39.9438284,116.2870162,,Bei Jing Shi,China,Other plants,,False,2024.0,,False,Gene Editing Systems Development
KR369721673,1020200189691,Republic of Korea,2020-12-31,102567576.0,2023-08-14,한양대학교 산학협력단서울대학교산학협력단Iucf-Hyu (Industry-University Cooperation Foundation Hanyang University)Seoul National University R&Db Foundation,(EN) NOVEL Cas9 PROTEIN VARIANT WITH IMPROVED TARGET SPECIFICITY AND USE THEREOF(KO) 표적 특이성이 향상된 신규한 Cas9 단백질 변이체 및 이의 용도,,,,,31.12.2020,South Korea,37.5571759,127.0454092,,Seoul,South Korea,Crop plants,956.0,True,2020.0,2023.0,False,Gene Editing Systems Development
CN313777281,202010843519,China,2020-08-20,,,"Jiangsu Academy Of Agricultural Sciences江苏省农业科学院Nanjing Lihua Agricultural Technology Co., Ltd.",(EN) Method for directionally editing genes of brassica oleracea var.capitata by utilizing CRISPR/Cas9 and application of method(ZH) 一种利用CRISPR/Cas9定向编辑结球甘蓝基因的方法及应用,,,,,,,32.035361,118.869025,Nanjing,Jiangsu,China,Cabbage,,False,2020.0,,False,Other Genetic Improvement for Crop Traits
CA177691236,2940217,Canada,,,2023-06-13,Monsanto Technology Llc,(EN) COMPOSITIONS AND METHODS FOR SITE DIRECTED GENOMIC MODIFICATION(FR) COMPOSITIONS ET PROCEDES DE MODIFICATION GENOMIQUE DIRIGEE,"61/945,700 27.02.2014 US","CA3194412

US6447065

GB2364906

DE000010127370

EP3110945

US20170166912

CN106232803

WO/2015/131101

ES2898460

EP3971283

US20220135991

US20230212596

US20240209385",,,,Canada,38.66369922,-90.57639294,,,,"Corn, Tomato, Soybeans",,True,,2023.0,True,Gene Editing Systems Development
EP189904976,15755923,European Patent Office,2015-02-27,,,Monsanto Technology Llc,(DE) ZUSAMMENSETZUNGEN UND VERFAHREN ZUR STELLENGERICHTETEN GENOMMODIFIKATION(EN) COMPOSITIONS AND METHODS FOR SITE DIRECTED GENOMIC MODIFICATION(FR) COMPOSITIONS ET PROCÉDÉS DE MODIFICATION GÉNOMIQUE DIRIGÉE,201461945700 27.02.2014 US,"CA3194412

US6447065

GB2364906

DE000010127370

US20170166912

CN106232803

WO/2015/131101

ES2898460

EP3971283

CA2940217

US20220135991

US20230212596

US20240209385",,,27.02.2015,European Patent Office,38.66369922,-90.57639294,,,,"Corn, Tomato, Soybeans",,False,2015.0,,True,Gene Editing Systems Development
WO2015131101,PCT/US2015/018104,,,,,Monsanto Technology Llc,(EN) COMPOSITIONS AND METHODS FOR SITE DIRECTED GENOMIC MODIFICATION(FR) COMPOSITIONS ET PROCÉDÉS DE MODIFICATION GÉNOMIQUE DIRIGÉE,"61/945,70027.02.2014US","CA3194412

US6447065

GB2364906

DE000010127370

EP3110945

US20170166912

CN106232803

ES2898460

EP3971283

CA2940217

US20220135991

US20230212596

US20240209385",PCT/US2015/018104,27.02.2015,27.02.2015,World Intellectual Property Organization,38.66369922,-90.57639294,Remington,Indiana,United States,"Corn, Tomato, Soybeans",,False,,,True,Gene Editing Systems Development
WO2021195630,PCT/US2021/024697,,,,,"Rutgers, The State University Of New Jersey",(EN) GENE-EDITED BASIL PLANTS RESISTANT TO DOWNY MILDEW(FR) PLANTS DE BASILIC GÉNÉTIQUEMENT MODIFIÉS RÉSISTANTS AU MILDIOU,"63/000,58627.03.2020US",US20230210073,PCT/US2021/024697,29.03.2021,29.03.2021,World Intellectual Property Organization,40.5017645,-74.4479342,New Brunswick,New Jersey,United States,Basil,,False,,,True,Disease Resistance
CN328998432,202110154123,China,2021-02-04,112980878.0,2023-03-31,"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences",(EN) HDAC8 gene knockout BHK-21 cell line as well as construction method and application thereof(ZH) HDAC8基因敲除的BHK-21细胞系及其构建方法和应用,,,,,,,36.082643,103.853777,Lan Zhou Shi,Gan Su Sheng,China,Crop plants,785.0,True,2021.0,2023.0,False,Other Purpose
CN324362172,202110227210,China,2021-03-02,,,Fujian Agriculture And Forestry University,(EN) Pseudosciaena crocea CRISPR/Cas9 gene editing method(ZH) 一种大黄鱼CRISPR/Cas9基因编辑方法,,,,,,,26.084946,119.239701,Fu Zhou Shi,Fu Jian Sheng,China,Crop plants,,False,2021.0,,False,Gene Editing Systems Development
CN251344015,201910510390,China,2019-06-13,,,Fujian Agriculture And Forestry University,(EN) Editing method for CRISPR-Cas9 gene of bees(ZH) 一种蜜蜂CRISPR-Cas9基因编辑方法,,,,,,,26.084946,119.239701,Fu Zhou Shi,Fu Jian Sheng,China,Other plants,,False,2019.0,,False,Gene Editing Systems Development
SG361459169,11202204171Q,Singapore,2020-11-05,,,Pairwise Plants Services Inc,(EN) COMPOSITIONS AND METHODS FOR RNA-ENCODED DNA-REPLACEMENT OF ALLELES,"62/930,836 05.11.2019 US","WO/2021/092130

JP2023505600

EP4054621

BR112022008415

CN114901302

KR1020220110748

CA3160186

AU2020380319

US20210130835

NZ787446

IL292434

BR112022008415This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

CL2022001145

MX2022005328

US20240158804

US20240167045",,,05.11.2020,Singapore,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2020.0,,True,Gene Editing Systems Development
NZ358654272,787446,New Zealand,2022-04-20,,,Pairwise Plants Services Inc,(EN) COMPOSITIONS AND METHODS FOR RNA-ENCODED DNA-REPLACEMENT OF ALLELES,"62/930,836 05.11.2019 US","WO/2021/092130

JP2023505600

EP4054621

BR112022008415

CN114901302

KR1020220110748

CA3160186

SG11202204171Q

AU2020380319

US20210130835

IL292434

BR112022008415This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

CL2022001145

MX2022005328

US20240158804

US20240167045",,,20.04.2022,New Zealand,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2022.0,,True,Gene Editing Systems Development
AU359946182,2020380319,Australia,2020-11-05,,,Pairwise Plants Services Inc,(EN) Compositions and methods for RNA-encoded DNA-replacement of alleles,"62/930,836 05.11.2019 US","WO/2021/092130

JP2023505600

EP4054621

BR112022008415

CN114901302

KR1020220110748

CA3160186

SG11202204171Q

US20210130835

NZ787446

IL292434

BR112022008415This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

CL2022001145

MX2022005328

US20240158804

US20240167045",,,05.11.2020,Australia,35.9900355,-78.8898264,Durham,North Carolina,United States,Crop plants,,False,2020.0,,True,Gene Editing Systems Development
CN197213494,201510856814.X,China,2015-11-28,,,Hubei University,(EN) Method for acquiring aromatic rice strain by targeting Badh2 gene via CRISPR/Cas9 gene editing technology,,,,,28.11.2015,China,30.5604645,114.3174596,Wu Han Shi,Hu Bei Sheng,China,Rice,,False,2015.0,,False,Other Genetic Improvement for Crop Traits
CN311241035,202010576529,China,2020-06-22,111849979.0,2022-02-08,"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences",(EN) SgRNA for targeted knockout of RPSA gene and construction method of RPSA gene knockout cell line(ZH) 一种靶向敲除RPSA基因的sgRNA及RPSA基因敲除细胞系的构建方法,,,,,,,36.082643,103.853777,Lan Zhou Shi,Gan Su Sheng,China,Crop plants,596.0,True,2020.0,2022.0,False,Gene Editing Systems Development
CN442639008,202410766641,China,2024-06-14,,,Beijing Academy Of Agriculture And Forestry Sciences,(EN) Chinese cabbage black rot detection method based on CRISPR/Cas12a and related materials and application thereof(ZH) 基于CRISPR/Cas12a的大白菜黑腐病检测方法及其相关材料和应用,,,,,,,39.9438284,116.2870162,,Bei Jing Shi,China,Cabbage,,False,2024.0,,False,Other Purpose
CN412714430,202310004176,China,2023-01-03,,,"Hongchang Bio-Tech (Suzhou) Co., Ltd.鸿昶生物科技（苏州）",(EN) Method for specific knockout of soybean lipoxygenase gene by CRISPR-Cas9 (clustered regularly interspaced short palindromic repeats-associated 9) and application(ZH) 一种CRISPR-Cas9特异性敲除大豆脂肪氧化酶基因的方法及应用,,,,,,,31.086679,120.659264,Su Zhou Shi,Jiang Su Sheng,China,Soybeans,,False,2023.0,,False,Other Genetic Improvement for Crop Traits
CN415888235,202311337583,China,2023-10-17,117088957.0,2024-01-02,"Shandong Yantai Agricultural Sci & Tech Institute (Yantai Branch Of Shandong Academy Of Agricultural Sciences)山东省烟台市农业科学研究院（山东省农业科学院烟台市分院）Yantai Xugeng Agricultural Technology Co., Ltd.",(EN) Application of tomato SlMYB13 protein and coding gene thereof in regulating and controlling salt tolerance and drought tolerance of plants(ZH) 番茄SlMYB13蛋白及其编码基因在调控植物耐盐、耐旱性中的应用,,,,,,,37.4876024,121.2794021,Yantai,Shandong,China,Tomatoes,77.0,True,2023.0,2024.0,False,Drought Adaptation
CN254000567,201910394241,China,2019-05-13,,,Jiangxi Super Paddy Rice Research Development Center (Jiangxi Academy Of Agricultural Sciences Hainan Paddy Rice Breeding Center)江西省超级水稻研究发展中心（江西省农科院海南水稻育种中心）,(EN) High-resolution-ratio dissolution curve detection method for mutation of OsNramp5 gene specific site(ZH) 一种OsNramp5基因特定位点突变的高分辨率溶解曲线检测方法,,,,,,,28.762772,115.832826,Nan Chang Shi,Jiang Xi Sheng,China,Rice,,False,2019.0,,False,Other Genetic Improvement for Crop Traits
WO2023164722,PCT/US2023/063398,,,,,"Pairwise Plants Services, Inc.",(EN) ENGINEERED CRISPR-CAS EFFECTOR PROTEINS AND METHODS OF USE THEREOF(FR) PROTÉINES EFFECTRICES CRISPR-CAS MODIFIÉES ET LEURS PROCÉDÉS D'UTILISATION,"63/314,59828.02.2022US","CA3253290

AU2023226168

CN119173626

EP4486880

NZ814010

CL2024002567",PCT/US2023/063398,28.02.2023,28.02.2023,World Intellectual Property Organization,35.99012121,-78.89092283,,,,Crop plants,,False,,,True,Gene Editing Systems Development
WO2022055144,PCT/KR2021/011059,,,,,주식회사 케이티앤지 Kt&G Corporation,"(EN) TRANSGENIC PLANT HAVING REDUCED HEAVY METAL CONTENT, AND METHOD FOR PRODUCING SAME(FR) PLANTE TRANSGÉNIQUE AYANT UNE TENEUR RÉDUITE EN MÉTAUX LOURDS, ET SON PROCÉDÉ DE PRODUCTION(KO) 중금속 저감된 형질전환 식물체 및 이의 제조방법",10-2020-011489108.09.2020KR,"KR1020220032937

US20240052360",PCT/KR2021/011059,19.08.2021,19.08.2021,World Intellectual Property Organization,36.42809842,127.4369284,,,,Crop plants,,False,,,True,Other Genetic Improvement for Crop Traits
WO2017207589,PCT/EP2017/063067,,,,,,(EN) HYBRID NUCLEIC ACID SEQUENCES FOR GENOME ENGINEERING(FR) SÉQUENCES D’ACIDES NUCLÉIQUES HYBRIDES DESTINÉES À L’INGÉNIERIE GÉNOMIQUE,"62/344,10901.06.2016US","AU2017272623

KR1020190012229

EP3464594

CN109642232

US20190161760

BR112018074494

EA201892810

JP2019517261

CA3025828

UAa201812605This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240376486",PCT/EP2017/063067,30.05.2017,30.05.2017,World Intellectual Property Organization,,,,,,Crop plants,,False,,,True,Gene Editing Systems Development
CN350443372,202010726930,China,2020-07-26,113980994.0,2023-12-29,Huazhong Agricultural University,(EN) Method for creating male sterility and maintenance dual-purpose line of cotton through GhAOC4 gene knockout(ZH) GhAOC4基因敲除创造棉花雄性不育和保持两用系的方法,,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Cotton,1251.0,True,2020.0,2023.0,False,Other Genetic Improvement for Crop Traits
CN354927619,202111203405,China,2021-10-15,114134155.0,2023-09-12,"Oil Crop Research Institute Of Chinese Academy Of Agricultural Sciences中国农业科学院油料作物研究所Wuhan Middle Oil Geodesire Seed Industry Co.,",(EN) MLO gene mutant as well as preparation method and application thereof(ZH) 一种MLO基因突变体及其制备方法与应用,2021107259214 29.06.2021 CN,,,,,,30.581532,114.344114,Wu Han Shi,Hu Bei Sheng,China,Canola,697.0,True,2021.0,2023.0,False,Disease Resistance
WO2021201653,PCT/KR2021/004155,,,,,중앙대학교 산학협력단 Chungang University Industry Academic Cooperation Foundation,(EN) GENOME EDITING METHOD BASED ON CRISPR/CAS9 SYSTEM AND USE THEREOF(FR) PROCÉDÉ D'ÉDITION GÉNOMIQUE BASÉ SUR UN SYSTÈME CRISPR/CPF1 ET SON UTILISATION(KO) CRISPR/CAS9 시스템을 기반으로 한 유전체 편집 방법 및 이의 용도,10-2020-004035202.04.2020KR,"KR1020210123237

US20240384303

KR1020250033178",PCT/KR2021/004155,02.04.2021,02.04.2021,World Intellectual Property Organization,37.5045563,126.9569379,,Seoul,South Korea,Crop plants,,False,,,True,Gene Editing Systems Development
CN290161094,201911079334,China,2019-11-07,,,Nanjing Agricultural University,(EN) Gene editing method for converting rice pericarp color based on CRISPR/Cas9 and application thereof(ZH) 一种基于CRISPR/Cas9转变水稻果皮色的基因编辑方法及其应用,,,,,,,32.033399,118.842587,Nan Jing Shi,Jiang Su Sheng,China,Rice,,False,2019.0,,False,Other Genetic Improvement for Crop Traits
CN336727881,202110770783,China,2021-07-07,113388635.0,2022-08-19,Jingchu University Of Technology,(EN) Plant double-target CRISPR/Cas9 vector as well as construction method and application thereof(ZH) 一种植物双靶点CRISPR/Cas9载体及其构建方法和应用,,,,,,,31.04339,112.199108,Jing Men Shi,Hu Bei Sheng,China,Crop plants,408.0,True,2021.0,2022.0,False,Gene Editing Systems Development
